pit_tag_number,event,alanine_aminotransferase,albumin,alkaline_phosphatase,aspartate_aminotransferase,bilirubin,buffy_coat_thickness,c-reactive_protein,calcium,chloride,cholesterol,cortisol,creatine_phosphokinase,creatinine,globulin,glucose,glutamate_dehydrogenase,haematocrit,haemoglobin,haptoglobin,lymphocytes_abs,magnesium,monocytes_abs,neutrophils_abs,phosphate,potassium,prostaglandin_e2,sodium,thick_buffy_coat,total_protein,triglycerides,urea,white_blood_cell_count,temperature_celsius,satiation_ration,ratioAlbuminGlobulin,ratioNeutrophilslymphocytes,meanCorHaeCon,general_health_classification
900008800751084,3,6,15,39,369,0,2,0.64,2.85,133,10.1,163,11283,11,21,4.56,135.4,43,,11.59,14.5,0.88,0,0.3,3.47,3.16,79.32,164,1,36,0.9,0.5,14.8,13,80,0.714285714285714,0.0206896551724138,,0
900008800751107,5,2,14,16,165,0,1,0.96,2.78,143,6.4,150,168,27,18,4.97,96.8,37,96,13.61,20.1,1.07,0,1.1,3.15,5.73,60,169,0,32,1.08,1,21.2,17,60,0.777777777777778,0.054726368159204,25.9459459459459,0
900008800751113,5,1,9,4,85,0,3,0.66,2.69,165,3.7,24.7,14,36,15,3.84,28.6,37,95,14.01,15,1.1,0.2,0.5,3.38,5.18,55.7,187,,24,0.77,0.6,15.6,17,80,0.6,0.0333333333333333,25.6756756756757,0
900008800751114,5,2,17,19,228,0,1,1.74,2.85,139,9.2,157,39,8,20,5.46,79.9,39,105,,15.2,1.23,0,0,3.22,4.94,81.1,171,0,37,1.02,1.1,15.2,17,100,0.85,0,26.9230769230769,0
900008800751130,3,3,14,26,220,0,1,1.95,2.51,135,7.8,255,573,16,18,4.77,77.9,41,,17.57,40.6,0.87,0,0,2.84,3.2,61.98,162,1,32,0.6,0.7,40.6,13,60,0.777777777777778,0,,1
900008800751173,3,7,16,38,456,0,2,1.91,2.82,138,10.2,272,16846,5,24,4.78,78.3,37.5,,16.59,20.6,1.05,0,0.6,3.35,4.22,118.43,167,1,40,1.11,0.6,21.2,17,100,0.666666666666667,0.029126213592233,,0
900008800751201,3,6,15,31,314,0,1,3.47,2.78,130,10.7,206,5395,18,24,4.26,78,40,,9.59,40.4,1.02,0.4,0.4,3.74,4.69,67.27,160,1,38,1.05,0.6,41.2,13,100,0.625,0.0099009900990099,,1
900008800751205,5,9,17,19,247,0,,0.77,2.53,131,8.7,65.2,5139,14,22,4.79,114.3,41,119,9.06,11.8,1,0,0,2.81,4.26,141.2,157,0,39,0.76,1.1,11.8,17,80,0.772727272727273,0,29.0243902439024,0
900008800751229,5,3,19,23,307,0,2,0.74,2.98,132,10.1,285,974,35,22,4.43,107.2,39,115,10.34,16.3,1.22,0,0.3,3.85,3.93,94.5,166,0,41,2.17,2.4,16.6,17,100,0.863636363636364,0.0184049079754601,29.4871794871795,1
900008800751280,5,11,19,20,571,0,0,,2.96,138,11.2,68,1234,30,21,5.7,76.1,31,82,,9.6,1.44,0.1,0.8,3.99,5.63,69.4,171,0,40,1.22,1.3,10.6,17,100,0.904761904761905,0.0833333333333333,26.4516129032258,0
900008800751315,5,3,17,27,336,0,0,1.31,3.55,143,9.4,248,1127,14,23,5.57,128.1,43,110,21.15,9.5,1.49,0,0.3,3.88,5.1,71.2,183,0,41,1.7,1.4,9.8,17,100,0.739130434782609,0.0315789473684211,25.5813953488372,0
900008800751349,5,3,17,18,272,0,1,1.27,2.86,143,8.1,255,646,26,21,4,148.1,38,104,13.78,17.8,1.12,0.2,0.2,3.32,3.78,70.3,171,0,37,1.05,0.8,18.2,17,60,0.80952380952381,0.0112359550561798,27.3684210526316,1
900008800751365,5,4,18,15,298,0,2,,2.84,133,6.7,29.7,242,32,21,6.45,65.9,41,105,12.66,7.5,1.39,0,0.1,3.39,4.52,68.4,165,0,39,1.04,1.2,7.6,17,100,0.857142857142857,0.0133333333333333,25.609756097561,0
900008800751426,3,6,13,22,388,0,2,1.27,2.62,138,8.4,338,1128,22,20,4.94,54.4,35.5,,17.91,22.1,1.14,0,0.7,3.06,3.28,67.81,165,1,34,1.17,0.4,22.8,17,60,0.65,0.0316742081447964,,1
900008800751444,3,6,18,30,342,0,7,1.89,3.1,134,10.9,217,8711,8,27,4.64,106.6,44,,15.15,24.8,1.31,0,0,4.41,4.96,84.96,167,1,45,1.69,0.5,24.8,13,80,0.666666666666667,0,,1
900008800751501,5,6,15,33,616,0,1,0.31,2.81,140,6.9,23.7,326,19,22,5.88,164.4,33,94,10.05,14.4,1.21,0.1,0.3,3,6.15,72.1,170,0,37,1.14,1.9,14.8,17,60,0.681818181818182,0.0208333333333333,28.4848484848485,0
900008800751511,3,4,16,24,247,0,2,1.67,2.73,138,7.3,295,2092,14,21,4.31,93.7,31.5,,17.83,18.4,1.11,0.2,1.2,3.02,3.8,81.89,164,1,37,1.05,0.5,19.8,17,80,0.761904761904762,0.0652173913043478,,0
900008800751513,5,9,17,24,480,0,2,1.35,2.85,127,8.1,348,2237,48,19,9.97,54.1,39,112,8.88,8.7,1.39,0.3,0.6,4.3,6.16,78.5,162,0,36,1.47,1.3,9.6,17,80,0.894736842105263,0.0689655172413793,28.7179487179487,1
900008800751535,5,4,15,18,204,0,1,1.12,2.89,142,7.1,206,1778,12,18,6.66,70.9,41,,9.18,17.8,1.16,0.2,0.2,2.9,3.52,77.1,168,0,33,0.83,1.8,18.2,17,80,0.833333333333333,0.0112359550561798,,0
900008800751538,3,6,16,24,342,0,1,2.41,2.56,139,7.8,302,1497,15,18,4.87,59,37.5,,16.18,27,1.03,0,0.8,2.99,3.87,67.39,166,1,33,0.96,0.5,27.8,17,80,0.888888888888889,0.0296296296296296,,1
900008800751554,5,3,20,23,333,0,3,0.42,2.95,152,9.4,63.5,512,17,26,5,78.8,35,98,7.08,24,1.31,0.2,0,3.2,4.88,71.2,183,0,46,1.08,0.8,24.2,17,60,0.769230769230769,0,28,1
900008800751577,3,6,14,30,281,0,1,2.06,2.58,130,9,272,4862,20,20,4.22,55.6,38.5,,10.77,25.4,0.86,0,0,3.23,3.91,68.91,159,1,34,1.01,0.5,25.4,13,80,0.7,0,,1
900008800751603,3,7,14,28,350,0,2,0.52,2.77,138,9.4,453,1657,16,23,4.91,76.6,41.5,,11.5,38.6,0.99,0.4,0.4,3.77,4.46,72.92,169,1,37,0.87,0.6,39.4,13,60,0.608695652173913,0.0103626943005181,,0
900008800751633,3,10,15,33,380,0,1,1.54,2.88,133,9.7,287,10680,23,23,3.75,144.9,37,,10.59,33.3,1.12,0,0.3,3.69,3.45,88.01,164,1,38,1.21,0.6,33.6,13,100,0.652173913043478,0.00900900900900901,,1
900008800751634,5,3,17,16,289,0,3,,2.86,144,8.4,111,298,24,21,4.31,154.4,39,114,13.73,13.7,1.16,0,0.1,3.36,4.4,70.2,172,0,39,1.06,0.6,13.8,17,60,0.80952380952381,0.0072992700729927,29.2307692307692,1
900008800751640,3,4,17,29,245,0,2,1.56,2.76,136,9.1,443,1760,26,23,4.79,98.2,38.5,,12.73,18,1.07,0,0.2,3.35,3.22,80.37,167,1,39,1.02,0.6,18.2,17,100,0.739130434782609,0.0111111111111111,,1
900008800751641,5,3,15,11,241,0,1,1.06,3.23,130,6.6,913,1015,14,17,4.7,76.8,43,91,15.74,16.2,1.16,0,0.2,3.51,6.46,56.2,177,0,32,1.31,3.2,16.4,17,100,0.882352941176471,0.0123456790123457,21.1627906976744,1
900008800751689,3,6,14,27,346,0,0,1.84,2.6,133,9.1,412,6996,10,20,4.2,23.8,40.5,,12.87,23,0.91,0.2,0,3.13,3.84,60.57,161,1,34,0.82,0.4,23.2,13,60,0.7,0,,0
900008800751708,3,4,15,19,385,0,1,3.22,2.61,136,7.8,245,2711,6,21,4.32,113.2,36,,14.86,18.6,0.99,0.2,0.2,3.21,3.45,74.57,163,1,35,1.12,0.4,19,17,60,0.714285714285714,0.010752688172043,,0
900008800751714,3,3,17,26,292,0,2,1.33,2.67,139,8,297,584,10,21,5.13,109.8,40,,18.12,16.9,1.07,0,0.3,2.73,3.03,62.04,167,1,38,0.71,0.5,17.2,17,60,0.80952380952381,0.0177514792899408,,0
900008800751718,5,12,18,15,307,0,0,1.36,2.82,137,8.9,79.8,6309,8,22,4.75,70.4,42,,8.29,16.6,1.13,0,0.2,2.91,4.5,71.2,163,0,40,0.9,0.7,16.8,17,80,0.818181818181818,0.0120481927710843,,1
900008800751738,3,4,17,25,288,0,1,1.48,3.11,140,9.4,653,2861,11,24,5.81,105.6,39,,18.68,18.4,1.16,0.2,0.6,3.71,4.23,87.76,171,1,41,1.49,0.5,19.2,17,80,0.708333333333333,0.0326086956521739,,0
900008800751763,5,1,17,27,151,0,0,1.77,3.12,143,11.8,275,257,16,22,7.26,56.7,35,104,15.62,32.9,1.28,0,0.3,3.3,4.6,81.1,175,0,39,2.16,1.2,33.2,17,100,0.772727272727273,0.00911854103343465,29.7142857142857,1
900008800751794,5,3,18,19,258,0,1,1.55,2.77,136,9.8,99.8,148,19,21,5.53,101.3,36,102,20.98,24.6,1.28,0,0.2,3.09,4.48,82.4,166,0,39,1.52,1,24.8,17,100,0.857142857142857,0.00813008130081301,28.3333333333333,0
900008800751828,5,2,14,16,142,0,,0.94,2.48,139,4.7,168,150,7,20,3.89,317.5,36,101,18.42,11.8,1,0.7,1.5,2.57,4.63,47.2,163,0,34,1.19,1.3,14,17,100,0.7,0.127118644067797,28.0555555555556,0
900008800751863,3,6,14,26,378,0,1,1.18,2.57,135,7.2,295,5217,16,24,4.46,138.8,38,,17.78,27.9,1.12,0.3,0.6,3.33,3.81,79.22,163,1,39,0.78,0.6,28.8,17,60,0.583333333333333,0.021505376344086,,1
900008800751900,5,4,17,18,232,0,0,1.07,2.73,140,8.4,78,473,22,22,6.48,51,42,110,11.65,13.9,1.13,0.1,0.1,3.45,5.19,74.6,168,0,38,0.98,0.9,14.2,17,80,0.772727272727273,0.00719424460431655,26.1904761904762,0
900008800751937,3,5,17,36,358,0,0,2.15,3.13,134,9.2,204,2292,16,24,6.21,113.1,41,,17.65,25.1,1.15,0,0.5,4.57,5.02,73.63,168,1,41,0.61,1.7,25.6,17,100,0.708333333333333,0.0199203187250996,,1
900008800751978,3,4,14,30,303,0,1,1.23,2.52,136,9.6,188,343,6,19,4.85,73.5,37.5,,16.76,30.7,0.92,0.3,0.6,2.75,3.25,73.54,164,1,34,1.39,0.4,31.6,13,80,0.736842105263158,0.0195439739413681,,0
900008800751983,5,2,17,19,222,0,0,0.43,2.8,142,8.6,116,1276,24,22,5.5,101.8,41,112,11.25,8.8,1.18,0.5,0.1,3.9,4.94,66.5,171,0,39,1.38,0.6,9.4,17,80,0.772727272727273,0.0113636363636364,27.3170731707317,1
900008800752022,5,3,18,17,234,0,3,1.46,3.19,147,7.9,181,631,11,21,5.43,63.6,39,103,12.89,21.6,1.27,0.2,0.2,3.31,4.4,81.2,179,0,39,1.76,0.4,22,17,80,0.857142857142857,0.00925925925925926,26.4102564102564,1
900008800752024,3,8,16,39,481,0,2,3.18,2.9,137,9.7,551,11404,28,21,5.25,46.2,40,,12.44,17,1.04,0,0,3.21,3.72,86.64,168,1,38,1.08,0.8,17,17,100,0.761904761904762,0,,1
900008800752068,5,6,19,26,389,0,2,0.35,2.98,135,9.3,96.7,1820,17,28,4.51,141.2,34,92,8.11,11.5,1.23,0.1,1,3.61,5.98,75.9,170,0,47,2.59,2,12.6,17,60,0.678571428571429,0.0869565217391304,27.0588235294118,0
900008800752069,3,4,17,23,257,0,2,1.96,2.7,132,9.8,152,2203,8,23,4.07,66.8,37,,13.49,16.8,1.05,0,0.2,2.96,4.04,71.3,159,1,40,1.2,0.5,17,17,80,0.739130434782609,0.0119047619047619,,1
900008800752085,3,5,16,37,295,0,0,0.81,2.88,139,9.6,391,1725,29,20,4.59,121.8,42,,12.82,25.5,1.11,0.3,0.3,3.84,3.2,94.36,172,1,36,1.17,0.6,26,13,100,0.8,0.0117647058823529,,0
900008800752115,3,9,16,37,413,0,3,2.23,3.48,141,9.3,427,9140,11,22,6.01,95.9,35,,13.61,29.4,1.24,0,0.6,4.32,5.59,67.66,179,1,39,0.95,0.6,30,17,80,0.727272727272727,0.0204081632653061,,1
900008800752135,3,4,16,29,269,0,0,2.38,2.87,142,8.6,201,1982,11,23,5.11,78.7,36.5,,18.8,27.8,1.12,0,0.6,3.54,5.16,73.81,172,1,39,1.23,0.5,28.4,17,60,0.695652173913044,0.0215827338129496,,1
900008800752195,3,5,15,32,281,0,1,1.25,2.75,138,10,108,1363,15,20,4.59,100.7,39,,14.6,32.7,1.01,0,0.3,3.53,3.66,63.72,168,1,35,1.51,0.4,33,13,80,0.75,0.0091743119266055,,1
900008800752217,5,9,17,16,517,0,1,,2.9,151,6.3,36,1350,,,,95.4,36,102,,17.7,,0.2,0.4,,6.02,,180,0,,,,18.2,17,60,,0.0225988700564972,28.3333333333333,0
900008800752229,5,4,17,20,306,0,2,1.15,2.78,134,7.5,63.3,660,40,20,4.65,105.4,39,100,11.42,26.5,1.19,0.3,0,3.66,4.46,73.6,166,1,37,1.39,1.3,26.8,17,100,0.85,0,25.6410256410256,1
900008800752251,3,5,15,32,261,0,0,1.29,2.68,135,9.9,143,2590,12,23,4.3,170,43,,17.99,34.5,0.91,0,0.3,3.48,3.65,106.4,164,1,38,1.33,0.5,34.8,13,100,0.652173913043478,0.00869565217391304,,1
900008800752281,3,3,17,27,195,0,0,1.02,2.64,132,8.9,400,1695,18,22,4.35,68.4,38.5,,17.02,14.3,1.09,0,1.1,3.02,3.1,73.28,159,1,39,0.87,0.6,15.4,17,80,0.772727272727273,0.0769230769230769,,0
900008800752330,3,4,17,37,289,0,2,2.38,2.67,133,8.7,693,1510,10,23,4.49,105.1,48,,27.96,19,1.06,0.2,0.2,3.17,3.55,80.59,163,1,40,0.84,0.7,19.4,17,100,0.739130434782609,0.0105263157894737,,1
900008800752344,3,3,15,21,268,0,1,2.15,2.75,135,7.9,445,3102,14,18,5.34,69.1,39,,16.87,16.6,1.01,0,0.2,3.18,4.27,64.02,164,1,33,0.88,0.5,16.8,17,60,0.833333333333333,0.0120481927710843,,0
900008800752354,3,3,16,44,246,0,0,1.34,3.01,143,9.4,347,1427,7,22,4.14,71.6,35.5,,11.2,29.1,1.04,0.3,0.6,3.65,3.59,66.89,175,1,38,0.82,0.4,30,13,80,0.727272727272727,0.0206185567010309,,1
900008800752356,3,5,14,40,286,0,0,1.83,2.62,133,8.4,253,6163,9,22,4.02,77.4,36,,15.83,38,0.98,0,0.4,3.2,3.45,60.76,163,1,35,1.16,0.5,38.4,13,60,0.636363636363636,0.0105263157894737,,1
900008800752359,5,3,18,36,346,0,1,0.52,2.64,138,6.5,126,1026,17,22,4.28,133.8,46.5,108,14.45,10.2,1.15,0.1,0.3,3.19,3.17,89.9,165,0,40,1.29,0.3,10.6,17,60,0.818181818181818,0.0294117647058824,23.2258064516129,0
900008800752364,3,5,15,31,285,0,1,2.58,2.72,135,9.8,291,7971,13,20,4.77,77.1,43,,17.39,44.2,1.06,0,0,3.47,4.23,48.64,164,1,35,1.26,0.5,44.2,13,60,0.75,0,,1
900008800752378,5,6,17,12,260,0,0,1.22,2.58,132,8.1,97.3,3090,9,22,4.88,155.4,40,,7.27,12.2,1.08,0,0,2.49,4.67,79,158,0,39,0.63,0.9,12.2,17,80,0.772727272727273,0,,1
900008800752388,3,4,16,33,284,0,0,2.06,2.75,135,10.9,468,2439,8,22,4.51,130.9,36,,9.19,32.8,0.93,0,0,3.33,3.17,60.63,166,1,38,1.49,0.4,32.8,13,60,0.727272727272727,0,,0
900008800752389,3,3,15,22,252,0,2,0.9,2.64,136,8.8,423,836,9,19,5.66,63.5,48,,14.77,28.4,0.99,0,0,2.79,3.22,56.1,162,1,34,0.74,0.4,28.4,17,60,0.789473684210526,0,,0
900008800752396,5,9,18,30,277,0,1,0.43,2.77,133,9.8,223,9410,9,19,5.9,108.1,36,102,,37.2,1.04,0,0.4,2.47,4.83,90.2,159,0,36,1.04,1.3,37.6,17,60,0.947368421052632,0.010752688172043,28.3333333333333,1
900008800752425,3,4,17,22,340,0,1,1.84,3.22,137,8.7,505,7161,12,21,5.67,104.1,38,,14.18,35.4,1.13,0,0.4,3.64,4.24,88.95,173,1,38,0.96,0.4,35.8,17,80,0.80952380952381,0.0112994350282486,,1
900008800752435,3,6,16,22,341,0,3,2.13,2.64,132,6.9,386,12827,10,21,5.6,51.6,38,,16.58,28.2,1.17,0,0.6,3.61,3.58,54.98,159,1,37,0.68,0.4,28.8,17,60,0.761904761904762,0.0212765957446809,,1
900008800752463,3,3,14,32,243,0,1,1.71,2.76,137,9.6,347,684,24,20,4.5,142.5,38,,11.5,34.7,0.93,0,0.4,3.27,3.59,70.11,169,1,34,1.21,0.6,35,13,100,0.7,0.0115273775216138,,1
900008800752470,5,6,18,28,428,0,1,0.68,3.06,139,7.2,410,1589,13,21,4.92,187.3,41,94,10.68,21.8,1.15,0,0.2,3.31,5.43,91.2,174,0,39,0.73,0.9,22,17,100,0.857142857142857,0.00917431192660551,22.9268292682927,1
900008800752483,5,10,17,17,319,0,4,0.73,2.89,134,8.3,461,3376,7,23,6.59,120.3,41,,6.96,52.6,1.03,0.5,1.1,2.71,7.07,99.2,163,0,40,0.68,1.4,54.2,17,80,0.739130434782609,0.0209125475285171,,0
900008800752516,5,4,17,17,274,0,2,1.5,2.78,138,6.8,68.9,191,18,24,4.76,104.1,41,108,14.84,7.8,1.22,0.2,0.4,3.12,4.37,67.9,166,0,41,0.85,0.5,8.4,17,60,0.708333333333333,0.0512820512820513,26.3414634146341,0
900008800752521,3,4,17,32,270,0,0,2.78,2.85,138,9.6,199,1542,13,20,4.75,146.1,41.5,,16.63,23.7,0.98,0,0.5,3.37,3.1,59.58,169,1,37,0.83,0.5,24.2,13,60,0.85,0.0210970464135021,,0
900008800752527,3,3,15,25,188,0,1,3.89,2.56,135,9.2,184,2109,7,22,4.37,132.2,34,,16.42,35.3,0.96,0,1.9,3.01,3.18,54.04,162,1,36,1.08,0.4,37.2,13,60,0.681818181818182,0.0538243626062323,,0
900008800752553,5,13,15,18,414,0,1,0.4,2.55,135,7.3,71.3,22396,26,19,5.27,69.5,40,97,,18.8,1.11,0,0.2,3.1,4.99,67.5,159,0,34,1.09,0.6,19,17,60,0.789473684210526,0.0106382978723404,24.25,0
900008800752593,5,2,16,19,187,0,3,2.38,3.06,142,8.8,227,545,16,21,7.06,67.7,37,104,9,32.9,1.27,0,0.3,3.25,5.41,68.5,179,0,37,1,1.7,33.2,17,100,0.761904761904762,0.00911854103343465,28.1081081081081,0
900008800752619,5,2,20,20,162,0,1,0.74,3.16,145,11.3,353,506,18,22,5.86,104.1,40,92,16.52,15.9,1.35,0.2,0.3,3.45,4.29,116.3,179,0,42,3.62,0.5,16.4,17,100,0.909090909090909,0.0188679245283019,23,1
900008800752635,3,4,16,29,301,0,2,0.94,2.69,138,8.8,119,3390,4,21,4.16,124.5,37.5,,14.56,16.7,1.02,0,0.7,3.12,3.53,64.84,166,1,37,0.97,0.3,17.4,17,60,0.761904761904762,0.0419161676646707,,1
900008800752667,3,4,17,40,272,0,0,0.95,2.87,139,9.9,502,1139,26,21,5.43,100.3,39,,20.98,22.2,1.04,0,0.2,3.68,3.63,80.59,174,1,38,1.47,0.6,22.4,17,100,0.80952380952381,0.00900900900900901,,1
900008800752674,3,4,15,30,263,0,1,1.21,2.93,138,8.2,305,1399,19,21,4.84,79.6,37,,12.57,26.1,1.1,0,0.5,3.43,3.29,84.2,170,1,36,1.07,0.6,26.6,17,100,0.714285714285714,0.0191570881226054,,1
900008800752676,3,9,18,33,620,0,2,2.97,2.95,135,9.3,483,19519,15,24,4.51,51,35.5,,16.29,32.3,1.15,0,0.7,3.31,3.01,89.94,169,1,42,1.09,0.6,33,17,100,0.75,0.021671826625387,,1
900008800752679,3,9,17,29,358,0,,1.5,3.02,130,11.6,390,11018,12,26,4.95,48.3,50,,14.31,28.5,1.06,0,0.9,4,4.14,98.11,159,0,44,1.49,0.4,29.4,13,100,0.653846153846154,0.0315789473684211,,1
900008800752713,3,6,14,23,266,0,0,1.49,2.71,134,8.2,249,4014,11,20,3.67,50.8,35,,10.86,20.4,0.88,0,0.6,3.02,4.38,51.29,161,1,34,0.66,0.3,21,13,60,0.7,0.0294117647058824,,0
900008800752739,5,3,16,18,216,0,1,0.47,3.49,154,7.1,332,1791,14,23,6.72,95.8,39,100,9.24,23.8,1.46,0.5,0.5,3.8,5.23,72.8,190,0,39,1.04,1.1,24.8,17,60,0.695652173913044,0.0210084033613445,25.6410256410256,0
900008800752782,5,5,17,19,321,0,1,1.26,2.83,134,10.1,41.7,585,23,21,6.19,159,42,79,8.47,13.5,1.19,0.1,0,3.07,5.36,74.9,163,0,39,1.07,2.5,13.6,17,100,0.80952380952381,0,18.8095238095238,1
900008800752787,5,24,17,22,649,0,8,0.5,2.64,130,8.3,177,8494,25,19,5.56,121.2,31,,7.33,10.9,1.09,0.1,0.3,4.07,6.1,96.2,158,0,36,0.79,0.8,11.4,17,80,0.894736842105263,0.0275229357798165,,0
900008800752823,3,6,14,40,309,0,1,1.41,2.65,133,9.5,396,8755,11,21,4.45,67.6,26.5,,8.47,21.2,0.88,0,0.2,3.4,3.87,76.14,161,1,35,0.95,0.6,21.4,13,100,0.666666666666667,0.00943396226415095,,1
900008800752825,5,10,15,18,285,0,1,0.61,2.93,136,6.9,180,8061,14,20,5,47.2,36,99,6.96,29.2,1.11,0,0.6,3.8,4.84,80.5,165,1,35,0.93,0.9,29.8,17,80,0.75,0.0205479452054795,27.5,1
900008800752828,5,3,18,23,228,0,0,0.76,2.89,136,9.9,237,2349,14,23,4.58,107.9,38.5,104,13,26.9,1.14,0,0.3,2.87,3.85,115,166,1,41,2.78,1.1,27.2,17,100,0.782608695652174,0.0111524163568773,27.012987012987,1
900008800752833,3,3,17,45,234,0,9,0.72,2.89,134,10.7,358,2360,16,21,3.94,56.9,35,,15.83,20.4,1.08,0,0.2,3.27,3.42,101.84,166,1,38,1.62,0.5,20.6,17,100,0.80952380952381,0.00980392156862745,,1
900008800752869,3,5,14,23,296,0,0,1.73,2.76,136,9.2,136,4940,7,22,5.09,133.1,39,,13.67,32.7,0.94,0,0.7,3.36,4.19,60.07,165,1,36,1.31,0.4,33.4,13,60,0.636363636363636,0.0214067278287462,,1
900008800752906,3,5,17,31,316,0,2,0.8,2.8,137,10,375,2721,16,23,4.74,67.5,38.5,,11.63,15.2,1.15,0.2,0.5,3.09,3.57,78.61,167,1,40,1.24,0.5,15.8,17,100,0.739130434782609,0.0328947368421053,,1
900008800752925,3,5,15,28,283,0,0,1.5,2.84,141,9,114,1736,8,19,4.81,115.5,38.5,,9.02,22.6,0.91,0,0,3.77,3.52,68.9,169,1,35,1.28,0.5,22.6,13,80,0.789473684210526,0,,1
900008800752980,3,5,15,35,361,0,0,0.97,2.85,140,10.1,86,2877,17,21,4.48,98.4,36.5,,16.46,24.9,0.94,0.3,0.3,3.57,3.64,74.18,172,1,36,0.98,0.6,25.4,13,80,0.714285714285714,0.0120481927710843,,0
900008800752997,5,10,16,16,282,0,2,0.68,2.68,135,5.2,259,7331,13,22,4.43,57.1,38.5,116,13,4.6,1.05,0.1,0.1,2.79,3.37,60.7,161,1,38,0.51,0.7,4.8,17,100,0.727272727272727,0.0217391304347826,30.1298701298701,0
900008800753015,5,13,18,17,275,0,0,0.9,2.53,132,8.2,115,2453,20,19,4.45,107.7,36,99,12.49,34.9,1.08,0.4,0.4,2.56,4.38,113.8,158,1,38,0.77,1.1,35.6,17,100,0.947368421052632,0.0114613180515759,27.5,0
900008800753020,5,4,17,26,266,0,2,1.5,2.54,131,7.3,243,13022,9,24,5.36,99,40,,14.45,6.5,1.11,0.1,0.2,2.66,5.11,88.1,155,0,41,1.08,0.6,6.8,17,80,0.708333333333333,0.0307692307692308,,1
900008800753028,5,5,19,23,383,0,3,1.89,3.17,139,10.9,416,4260,20,25,5.36,250.3,44,121,15.4,30.8,1.43,0.3,0.3,3.97,4.56,72.9,172,,44,1.13,0.5,31.4,17,60,0.76,0.00974025974025974,27.5,1
900008800753057,3,4,18,30,247,0,1,1.43,3.06,134,9.7,510,3304,18,26,6.4,94.9,33,,18.68,21.8,1.16,0,0.2,3.05,4.06,73.24,168,1,44,1.4,0.5,22,17,80,0.692307692307692,0.00917431192660551,,0
900008800753070,5,21,16,18,380,0,0,3.4,2.88,136,7.3,121,7105,32,18,6,139.1,38.5,113,33.29,12.5,1.1,0,0.1,3.63,4.59,96.2,166,1,33,0.74,1.6,12.6,17,100,0.888888888888889,0.008,29.3506493506494,0
900008800753108,3,4,19,38,335,0,0,1.76,2.79,135,9.7,274,6880,13,24,5,100.4,38.5,,17.61,15.1,0.99,0.2,0.2,3.06,3.01,96.12,167,1,43,0.84,0.5,15.4,17,100,0.791666666666667,0.0132450331125828,,1
900008800753109,5,18,18,21,398,0,1,0.45,3.23,140,8.5,664,3888,16,21,5.45,76.3,46,,9.41,14.7,1.28,0.2,0.3,3.43,3.75,92.7,172,0,39,2.39,0.5,15.2,17,80,0.857142857142857,0.0204081632653061,,1
900008800753119,5,12,17,12,565,0,0,0.25,3.47,149,5.7,278,9001,40,23,5.88,92.2,36,87,8.59,9.4,1.71,0.1,0.7,5.37,6.55,48.3,191,0,40,1.54,0.9,10.2,17,60,0.739130434782609,0.074468085106383,24.1666666666667,0
900008800753170,5,4,18,21,352,0,2,2.99,3.5,157,8.4,390,3062,15,24,6.41,108.7,43,103,,16.5,1.44,0.4,0.7,3.88,4.34,71.2,191,0,41,0.88,1.7,17.6,17,80,0.75,0.0424242424242424,23.953488372093,0
900008800753174,3,5,14,39,345,0,1,1.66,2.68,138,8.2,185,2079,6,20,4.63,101.1,37.5,,10.68,20.4,1.01,0,0,2.98,3.3,58.5,167,1,34,1.23,0.6,20.4,13,60,0.7,0,,0
900008800753189,5,2,16,26,193,0,1,0.36,2.93,152,7,294,583,22,21,4.02,106.8,40,91,8.77,19.6,1.23,0.2,0.4,3.13,3.89,84.9,179,0,37,1.21,0.5,20.2,17,60,0.761904761904762,0.0204081632653061,22.75,0
900008800753303,3,8,16,24,374,0,1,2.67,3.3,136,8.2,442,8509,14,24,6.29,112,41,,17.8,16.7,1.3,0.2,0.3,3.9,4.08,58.03,173,1,40,1.11,0.4,17.2,17,60,0.666666666666667,0.0179640718562874,,0
900008800753313,5,4,18,20,317,0,2,1,2.96,135,8.5,450,571,21,21,4.24,154.2,33.5,99,10.56,12.5,1.13,0.3,0.3,3.76,4.35,64.2,170,1,39,2.35,0.7,13,17,100,0.857142857142857,0.024,29.5522388059702,0
900008800753314,3,4,17,49,393,0,0,1.06,3.04,139,6.9,338,1883,11,26,5.33,189.2,44.5,,20.89,21.2,1.28,0,0.2,3.07,3.22,73.54,173,1,43,1.17,0.8,21.4,17,100,0.653846153846154,0.00943396226415095,,1
900008800753348,5,1,17,19,152,0,1,0.84,2.86,139,9.1,233,394,7,23,5.28,109.4,33.5,107,13.73,26.6,1.11,0,0,2.89,4.93,91,169,1,39,0.8,0.8,26.6,17,80,0.739130434782609,0,31.9402985074627,1
900008800753375,3,3,14,30,217,0,1,2.92,2.67,136,7.4,381,1381,9,19,4.86,71.1,37,,12.32,19.6,1.07,0.2,0.2,3,3.82,65.92,166,1,33,0.98,0.9,20,17,60,0.736842105263158,0.0102040816326531,,1
900008800753434,3,6,16,25,324,0,,1.68,3.11,137,9.8,498,4952,17,20,6.4,59.8,,,9.21,26.9,1.15,0,0.3,3.43,4.05,58.61,169,,36,1.45,0.6,27.2,17,80,0.8,0.0111524163568773,,1
