pit_tag_number,event,alanine_aminotransferase,albumin,alkaline_phosphatase,aspartate_aminotransferase,bilirubin,buffy_coat_thickness,c-reactive_protein,calcium,chloride,cholesterol,cortisol,creatine_phosphokinase,creatinine,globulin,glucose,glutamate_dehydrogenase,haematocrit,haemoglobin,haptoglobin,lymphocytes_abs,magnesium,monocytes_abs,neutrophils_abs,phosphate,potassium,prostaglandin_e2,sodium,thick_buffy_coat,total_protein,triglycerides,urea,white_blood_cell_count,temperature_celsius,satiation_ration,ratioAlbuminGlobulin,ratioNeutrophilslymphocytes,meanCorHaeCon,general_health_classification
900008800749643,5,1,13,6,102,0,,1.06,2.53,139,4.3,409,23,11,16,5.39,52.5,45.5,111,14.12,14.9,1.12,0.3,0,2.91,2.17,57.7,163,0,29,0.71,0.5,15.2,17,80,0.8125,0,24.3956043956044,1
900008800749680,3,4,16,24,236,0,0,2.75,3.05,139,9.2,399,1684,13,18,4.59,49.5,39,,12.1,11.3,1.09,0,0.3,3.43,3.93,67.55,171,1,34,1.14,0.5,11.6,17,60,0.888888888888889,0.0265486725663717,,1
900008800749689,3,6,17,32,390,0,3,1.55,3.01,133,8.1,319,2416,23,25,5.65,57.5,42.5,,20.89,37.2,1.38,0,0.4,3.37,2.26,102.17,168,1,42,1.01,0.5,37.6,17,100,0.68,0.010752688172043,,1
900008800749696,5,4,18,20,293,0,0,0.85,2.66,138,8.7,67.2,157,16,19,5.32,116.3,38,105,18.14,12.3,1.09,0,0.3,3.03,4.35,90.4,166,0,37,1.22,0.9,12.6,17,100,0.947368421052632,0.024390243902439,27.6315789473684,0
900008800749750,3,5,15,32,316,0,6,1.96,2.86,138,9.3,400,3622,26,25,5.01,108.5,38,,14.17,32.5,0.99,0,0.3,3.32,3.7,71.79,171,1,40,0.82,0.6,32.8,17,100,0.6,0.00923076923076923,,1
900008800749799,5,7,18,27,555,0,1,0.85,2.81,134,10.1,152,294,19,22,5.91,79.7,31,76,16.91,20.2,0.91,0,0.2,3.24,5.56,89.7,164,,39,0.99,2.5,20.4,17,100,0.818181818181818,0.0099009900990099,24.5161290322581,0
900008800749807,3,6,16,36,318,0,0,1.79,2.66,133,9.3,302,9210,9,23,4.2,201.7,44.5,,10.29,32,0.95,0.3,0.7,3.35,3.44,62.18,162,1,39,0.9,0.5,33,13,80,0.695652173913044,0.021875,,1
900008800749819,5,3,17,17,158,0,1,,3.29,138,8.8,334,1455,30,22,10.9,32.9,53,117,12.49,16.9,1.62,0,0.7,4.14,4.51,74.9,172,0,38,2.2,1.7,17.6,17,100,0.772727272727273,0.0414201183431953,22.0754716981132,0
900008800749846,3,5,16,28,320,0,0,3.91,2.54,135,8.4,280,876,7,20,4.22,105.7,37.5,,16.2,30.8,0.93,0.3,0.3,3.16,3.64,47.34,164,1,36,1.03,0.6,31.4,13,80,0.8,0.00974025974025974,,1
900008800749850,3,5,16,24,377,0,0,2.01,2.96,133,9.6,543,8558,11,22,5.55,99.8,38.5,,17.28,12.2,1.12,0.1,0.3,3.26,3.5,62.77,164,1,38,1.1,0.6,12.6,17,80,0.727272727272727,0.0245901639344262,,0
900008800749851,3,5,17,21,319,0,2,1.83,2.78,137,10,281,3930,10,23,5.22,138.4,39,,18.3,15.6,1.07,0,0.2,3.1,3.32,78.2,164,1,39,0.9,0.4,15.8,17,60,0.739130434782609,0.0128205128205128,,1
900008800749858,5,4,20,28,362,0,3,0.35,3.01,152,9.4,142,1952,18,24,5.47,78.8,34,92,,22.8,1.3,0,0.2,3.53,5.4,71.1,183,0,43,1.61,0.7,23,17,60,0.833333333333333,0.0087719298245614,27.0588235294118,0
900008800749864,5,4,18,18,302,0,1,1.03,2.91,132,8.2,100,101,16,22,6.38,96.9,40,106,12.94,15.8,1.17,0.2,0,3.19,4.46,54.6,166,0,40,1.11,0.8,16,17,60,0.818181818181818,0,26.5,0
900008800749909,5,18,14,10,393,0,1,0.85,2.78,136,6.3,51.6,29853,24,20,5.02,103.1,32,91,,10.8,1.24,0.2,1,3.36,6,67.9,161,0,35,1.16,1.7,12,17,60,0.7,0.0925925925925926,28.4375,1
900008800749958,3,5,14,25,294,0,1,2.06,2.73,134,9.8,256,3365,17,21,4.89,104.7,43.5,,9.64,23,0.98,0,0.2,3.05,2.77,83.11,162,1,35,1.01,0.5,23.2,13,80,0.666666666666667,0.00869565217391304,,1
900008800749962,5,4,19,23,308,0,1,0.96,3,141,10.2,245,741,14,25,5.22,105.9,43.5,114,12.04,14.9,1.21,0.2,0,3.76,4.41,96.2,173,0,44,0.73,0.5,15,17,80,0.76,0,26.2068965517241,0
900008800749978,3,8,14,33,285,0,0,1.82,2.69,135,10.6,274,5462,12,20,4.66,57.7,37.5,,27.04,22.2,0.95,0,0.2,3.49,3.37,81.66,160,1,34,1.08,0.5,22.4,13,100,0.7,0.00900900900900901,,1
900008800749991,5,3,18,25,222,0,1,1.79,2.82,133,9.7,209,371,25,21,5.02,93.3,39,97,19.3,15.4,1.03,0,0.2,3.1,5.7,79.4,166,0,39,1.58,0.8,15.6,17,100,0.857142857142857,0.012987012987013,24.8717948717949,1
900008800750005,5,2,17,17,191,0,2,1.33,2.69,137,7.9,376,1126,11,20,4.99,78.1,33.5,95,14.95,23.6,1.11,0.2,0,2.7,4.54,101.8,165,1,37,1.03,0.7,23.8,17,80,0.85,0,28.3582089552239,1
900008800750016,3,6,15,38,274,0,0,1.8,2.97,133,11.5,176,5875,17,24,4.02,144.9,43,,10.51,17.5,1.03,0,0.7,3.74,4.31,55.35,163,1,39,1.24,0.4,18.2,13,80,0.625,0.04,,1
900008800750075,3,7,16,32,468,0,0,2.87,3.25,138,10.9,521,9655,10,23,5.53,70.4,33,,16.38,24,1.13,0,0,3.4,3.6,82.44,175,1,39,1.59,0.5,24,17,100,0.695652173913044,0,,1
900008800750081,3,4,17,28,294,0,0,1.01,3.28,138,9.5,377,4350,27,26,6.59,160.5,43,,17.36,23.2,1.32,0,0.2,3.8,3.28,84.61,175,1,44,0.82,0.5,23.4,17,100,0.653846153846154,0.00862068965517241,,1
900008800750082,3,4,14,29,206,0,1,2.01,2.77,134,8.9,327,2540,20,21,4.26,78.2,36,,18.72,40,0.92,0.4,2.6,3.36,3.6,75.67,164,1,35,0.74,0.5,43,13,100,0.666666666666667,0.065,,1
900008800750100,5,3,17,16,151,0,1,0.62,3.05,153,8,387,552,18,19,6.01,94.6,44,116,11.48,14.4,1.21,0.2,0.6,3.32,4.22,76.3,183,0,36,1.32,1,15.2,17,60,0.894736842105263,0.0416666666666667,26.3636363636364,1
900008800750101,5,3,14,23,332,0,1,1.07,3.11,137,7.7,288,711,14,22,7.22,163.2,39,115,12.44,18.4,1.26,0.2,0.4,3.85,4.79,66.4,172,0,36,0.95,0.8,19,17,60,0.636363636363636,0.0217391304347826,29.4871794871795,0
900008800750136,3,9,19,31,474,0,1,1.21,3.59,132,9.4,651,5604,24,29,7.55,108,38.5,,16.93,39,1.44,0.4,0,3.9,4.87,85.08,176,1,48,0.9,0.6,39.4,17,100,0.655172413793103,0,,1
900008800750143,5,3,18,24,279,0,1,0.7,3.15,150,10.3,282,299,15,24,6.58,100.3,38,96,,29.1,1.19,0,0.3,3.62,6.06,74,182,,42,0.99,1.7,29.4,17,80,0.75,0.0103092783505155,25.2631578947368,0
900008800750149,5,4,20,28,284,0,,0.75,2.8,136,9.9,58.6,377,14,24,5.48,105.8,,99,,14.9,1.08,0,0.2,3.34,6.56,86.4,166,,44,1.21,1,15,17,80,0.833333333333333,0.0134228187919463,,1
900008800750150,3,5,19,29,292,0,1,1.48,2.84,132,9.9,220,2152,10,24,4.44,100.3,39,,8.79,27.2,1.03,0.3,1.8,3.15,2.8,69.43,164,1,42,2.86,0.7,29.2,17,80,0.791666666666667,0.0661764705882353,,1
900008800750185,5,2,16,11,148,0,1,,2.76,136,6.5,209,36,26,19,5.29,93.4,36,104,11.82,5.4,1.05,0.4,1.4,3.2,5.1,60.9,165,0,35,1.03,1.4,7.2,17,100,0.842105263157895,0.259259259259259,28.8888888888889,0
900008800750205,3,5,16,42,328,0,0,0.99,3.02,141,9,199,1953,6,23,5.21,79.3,38.5,,15.24,22.6,1.14,0,0.2,3.83,4.46,60.38,174,1,38,0.82,0.5,22.8,13,80,0.695652173913044,0.00884955752212389,,1
